country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","01-05-2025 14:00:00",28.5504249,77.2159377,PM10,155,246,173
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","01-05-2025 14:00:00",28.5504249,77.2159377,NO2,47,48,48
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","01-05-2025 14:00:00",28.5504249,77.2159377,SO2,38,41,39
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","01-05-2025 14:00:00",28.5504249,77.2159377,CO,22,44,25
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","01-05-2025 14:00:00",28.5918245,77.2273074,NO2,NA,NA,NA
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","01-05-2025 14:00:00",28.5918245,77.2273074,CO,44,56,51
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","01-05-2025 14:00:00",28.636429,77.201067,SO2,4,32,16
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","01-05-2025 14:00:00",28.636429,77.201067,CO,16,31,24
India,Delhi,Delhi,"Mundka, Delhi - DPCC","01-05-2025 14:00:00",28.684678,77.076574,PM2.5,97,163,131
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","01-05-2025 14:00:00",28.60909,77.0325413,CO,6,129,94
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","01-05-2025 14:00:00",28.570173,76.933762,OZONE,65,305,240
India,Delhi,Delhi,"Narela, Delhi - DPCC","01-05-2025 14:00:00",28.822836,77.101981,OZONE,9,65,28
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","01-05-2025 14:00:00",28.623763,77.287209,PM10,148,385,203
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","01-05-2025 14:00:00",28.674045,77.131023,NH3,4,58,11
India,Delhi,Delhi,"Pusa, Delhi - DPCC","01-05-2025 14:00:00",28.639652,77.146275,NH3,8,11,9
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","01-05-2025 14:00:00",28.672342,77.315260,NO2,NA,NA,NA
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","01-05-2025 14:00:00",28.672342,77.315260,CO,114,118,117
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","01-05-2025 14:00:00",28.699793,77.165453,NH3,7,31,10
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","01-05-2025 14:00:00",12.9135218,77.5950804,OZONE,25,26,26
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","01-05-2025 14:00:00",12.951913,77.539784,PM2.5,17,74,42
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","01-05-2025 14:00:00",12.951913,77.539784,CO,2,93,7
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","01-05-2025 14:00:00",12.9756843,77.5660749,SO2,7,14,10
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","01-05-2025 14:00:00",12.938539,77.590100,NO2,5,25,11
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","01-05-2025 14:00:00",12.938539,77.590100,CO,14,38,23
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","01-05-2025 14:00:00",12.920984,77.584908,NH3,1,1,1
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","01-05-2025 14:00:00",12.920984,77.584908,CO,1,22,7
India,Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB","01-05-2025 14:00:00",14.475800,75.905200,OZONE,18,19,19
